"","Reviewer","Date","Rating","Review"
"1","Peter Jones","Reviewed in the United Kingdom on 26 January 2022","5.0 out of 5 stars","Good Quality. Value for Money."
"2","Tony H.","Reviewed in the United Kingdom on 14 September 2023","5.0 out of 5 stars","Very good value"
"3","Helen M","Reviewed in the United Kingdom on 8 February 2024","5.0 out of 5 stars","Brilliant for carrying everything"
"4","ANAND","Reviewed in the United Kingdom on 7 August 2023","4.0 out of 5 stars","Spacious backpack with some limitations"
"5","I. Norton","Reviewed in the United Kingdom on 16 September 2023","5.0 out of 5 stars","Does The Job."
"6","PeterC","Reviewed in the United Kingdom on 21 February 2024","5.0 out of 5 stars","Works for me"
"7","Roger","Reviewed in the United Kingdom on 1 January 2024","5.0 out of 5 stars","Stylish backpack"
"8","Fossil","Reviewed in the United Kingdom on 3 December 2023","5.0 out of 5 stars","Perfect bag."
"9","David","Reviewed in Mexico on 6 April 2023",NA,NA
"10","Savoya","Reviewed in Germany on 3 March 2024",NA,NA
"11","Lacey","Reviewed in the United Kingdom on 7 February 2024","5.0 out of 5 stars","Great travel bag"
"12","Cat","Reviewed in the United Kingdom on 18 February 2024","5.0 out of 5 stars","Spacious"
"13","Danielle","Reviewed in the United Kingdom on 17 March 2022","4.0 out of 5 stars","Great bag but strap is not great"
"14","chelsye amoo","Reviewed in the United Kingdom on 12 January 2024","5.0 out of 5 stars","Perfect!"
"15","Dorota","Reviewed in the United Kingdom on 20 December 2023","5.0 out of 5 stars","Nice"
"16","Amazon Customer","Reviewed in the United Kingdom on 7 December 2023","5.0 out of 5 stars","Brilliant"
"17","England, UK","Reviewed in the United Kingdom on 12 January 2024","5.0 out of 5 stars","Spacious"
"18","Laura","Reviewed in the United Kingdom on 24 November 2023","3.0 out of 5 stars","Great size, quality not long standing"
"19","britt","Reviewed in the United States on 4 January 2024","5.0 out of 5 stars","Great bag for a great price"
"20","Amazon Customer","Reviewed in Canada on 11 March 2022","5.0 out of 5 stars","Great!!!"
"21","Els","Reviewed in the United Kingdom on 24 December 2023","4.6 out of 5 stars.","Good quality bag"
"22","liam","Reviewed in the United Kingdom on 16 May 2022","4.2 out of 5 stars.","Great bag!"
"23","Emma","Reviewed in the United Kingdom on 5 November 2022","4.4 out of 5 stars.","Handy little bag"
"24","Yahie A Mohamed","Reviewed in the United Kingdom on 19 January 2024","5.0 out of 5 stars","Okay"
"25","patty boulaye","Reviewed in the United Kingdom on 19 January 2024","5.0 out of 5 stars","hanging around"
"26","Daniel Ocomen","Reviewed in the United Kingdom on 30 October 2023","5.0 out of 5 stars","Good"
"27","Gray","Reviewed in the United Kingdom on 31 October 2023","4.0 out of 5 stars","Dimensions are incorrect."
"28","Joe wyn Jones","Reviewed in the United Kingdom on 22 October 2023","5.0 out of 5 stars","Does just fine"
"29","Renzo Frachia","Reviewed in the United States on 5 May 2023","5.0 out of 5 stars","Superb! Levi's Men's Shoulder Bag Crossbody"
"30","Pedro","Reviewed in Spain on 16 February 2024","5.0 out of 5 stars","Calidad pero pequeño"
"31","Vikram","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars","Awsome"
"32","Aline","Reviewed in the United Kingdom on 29 January 2024","5.0 out of 5 stars","Big backpack"
"33","Haze","Reviewed in the United Kingdom on 8 March 2024","5.0 out of 5 stars","Good quality"
"34","Oxygen","Reviewed in the United Kingdom on 18 September 2023","4.0 out of 5 stars","Spacious backpack"
"35","Lisa","Reviewed in the United Kingdom on 15 June 2023","5.0 out of 5 stars","This bag is fantastic"
"36","Krystian","Reviewed in the United Kingdom on 10 March 2024","5.0 out of 5 stars","So far so Good"
"37","Shanique P","Reviewed in the United Kingdom on 27 March 2023","5.0 out of 5 stars","Worth every penny"
"38","Amazon Customer","Reviewed in the United Kingdom on 26 June 2023","5.0 out of 5 stars","Sturdy bag"
"39","Kerri-Kay L.","Reviewed in Canada on 23 February 2023","5.0 out of 5 stars","Fulfilled Expectations"
"40","Mario Uribe","Reviewed in Mexico on 30 January 2023","5.0 out of 5 stars","Muy buena calidad"
"41","James Willsher","Reviewed in the United Kingdom on 14 December 2023","5.0 out of 5 stars","Great gym bag"
"42","C Cater","Reviewed in the United Kingdom on 23 January 2024","5.0 out of 5 stars","Good sized gym bag with lots of pockets"
"43","Shellie.s","Reviewed in the United Kingdom on 29 January 2024","5.0 out of 5 stars","Great kit bag"
"44","Amazon Customer","Reviewed in the United Kingdom on 27 January 2024","4.0 out of 5 stars","Comfortable"
"45","TeeCeee","Reviewed in the United Kingdom on 4 February 2024","5.0 out of 5 stars","It’s amazing"
"46","Denise Newton","Reviewed in the United Kingdom on 20 November 2023","5.0 out of 5 stars","Lovely Bag"
"47","Laura Kirby","Reviewed in the United Kingdom on 3 November 2023","5.0 out of 5 stars","Good value and quality bag"
"48","ste","Reviewed in the United Kingdom on 24 December 2023","5.0 out of 5 stars","Nice bag"
"49","david ","Reviewed in the United States on 2 March 2024","5.0 out of 5 stars","Muy buen producto."
"50","Anateresa Guadalupe Castillo Toledo","Reviewed in Mexico on 24 February 2024","5.0 out of 5 stars","Multifuncional con muchos compartimentos"
"51","george stevenson","Reviewed in the United Kingdom on 21 February 2024","5.0 out of 5 stars","Decent Quality"
"52","Anth","Reviewed in the United Kingdom on 2 January 2024","5.0 out of 5 stars","Sturdy and looks good"
"53","Sharon Taylor","Reviewed in the United Kingdom on 28 September 2021","4.0 out of 5 stars","Spacious, well padded."
"54","Abdul salam","Reviewed in the United Kingdom on 23 January 2024","5.0 out of 5 stars","Very good carry case"
"55","SportyBhoy","Reviewed in the United Kingdom on 6 December 2023","5.0 out of 5 stars","Good Quality for money"
"56","kev f","Reviewed in the United Kingdom on 30 December 2023","5.0 out of 5 stars","Ideal"
"57","Chris Russell","Reviewed in the United Kingdom on 28 February 2024","5.0 out of 5 stars","Good stand and price"
"58","Amazon Customer","Reviewed in the United Kingdom on 4 February 2024","5.0 out of 5 stars","Great"
"59","Willie V. Hughes","Reviewed in the United States on 6 March 2024","5.0 out of 5 stars","My New Favorite Laptop Bag"
"60","Rainy Kelly","Reviewed in Brazil on 29 February 2024","4.0 out of 5 stars","Ótimo produto!"
"61","J","Reviewed in the United Kingdom on 3 September 2023","4.5 out of 5 stars","A great quality bag"
"62","Rhonda","Reviewed in the United Kingdom on 16 February 2024","4.7 out of 5 stars","Perfect holiday handbag!"
"63","Ms. J. H. Mundler","Reviewed in the United Kingdom on 12 August 2023","4.7 out of 5 stars","Lovely bag but a bit small"
"64","JAB","Reviewed in the United Kingdom on 26 January 2024","5.0 out of 5 stars","Great Bag"
"65","cmst","Reviewed in the United Kingdom on 30 December 2023","5.0 out of 5 stars","value for money"
"66","busheybabe","Reviewed in the United Kingdom on 4 December 2023","4.0 out of 5 stars","KIPLING BAG AMAZINGLY SPACIOUS WHEN IN USE"
"67","HP1485","Reviewed in the United Kingdom on 29 November 2023","5.0 out of 5 stars","Missing the key fob"
"68","A R MCQUAT","Reviewed in the United Kingdom on 8 December 2022","5.0 out of 5 stars","The only bags you'll ever have to buy"
"69","Bebe","Reviewed in Germany on 27 February 2024","5.0 out of 5 stars","Sehr schöne Qualität"
"70","Bebe","Reviewed in Spain on 6 February 2024","4.0 out of 5 stars","Bonito y práctico"
"71","Els","Reviewed in the United Kingdom on 24 December 2023","5.0 out of 5 stars","Good quality"
"72","Jerome Obode","Reviewed in the United Kingdom on 28 December 2022","5.0 out of 5 stars","Great bag."
"73","ANNA01","Reviewed in the United Kingdom on 4 January 2023","5.0 out of 5 stars","Good size and excellent quality."
"74","Isa","Reviewed in the United Kingdom on 8 August 2023","5.0 out of 5 stars","I love it"
"75","Sapna Chowdhury","Reviewed in the United Kingdom on 7 October 2022","5.0 out of 5 stars","I love it !!"
"76","Maxine Natasha","Reviewed in the United Kingdom on 24 July 2021","5.0 out of 5 stars","Love, love, love this bag!"
"77","S.C","Reviewed in the United Kingdom on 11 October 2020","4.0 out of 5 stars","quality common"
"78","Evita","Reviewed in the United Kingdom on 17 December 2022","5.0 out of 5 stars","Love it"
"79","Pratesi Mauro","Reviewed in the United States on 14 August 2023","5.0 out of 5 stars","Gorgeous"
"80","Martens","Reviewed in Italy on 19 February 2024","5.0 out of 5 stars","Borsa capiente e resistente"
"81","Helen","Reviewed in the United Kingdom on 30 November 2023","4.7 out of 5 stars","Perfect"
"82","Feefster ","Reviewed in the United Kingdom on 16 October 2023","4.7 out of 5 stars","Just right!"
"83","Gillbert","Reviewed in the United Kingdom on 1 December 2023","4.6 out of 5 stars","Smart and roomy"
"84","Mrs Helene A Chernack","Reviewed in the United Kingdom on 7 December 2023","4.4 out of 5 stars","Wonderful Bag"
"85","carol Staffordshire ","Reviewed in the United Kingdom on 15 January 2024","5.0 out of 5 stars","Tasteful bag"
"86","J","Reviewed in the United Kingdom on 11 May 2023","5.0 out of 5 stars","Great bag for everyday."
"87","Maisie's Gran","Reviewed in the United Kingdom on 19 February 2024","5.0 out of 5 stars","Lovely bag"
"88","Amazon Customer","Reviewed in the United Kingdom on 4 March 2024","5.0 out of 5 stars","Perfect size, fit and colour"
"89","DEISY CARDOSO DE SOUZA","Reviewed in Brazil on 19 February 2024","4.0 out of 5 stars","Amei"
"90","Natali Sanchez","Reviewed in Mexico on 17 February 2024","5.0 out of 5 stars","Me encanta"
"91","silks","Reviewed in the United Kingdom on 3 March 2024","5.0 out of 5 stars","Good bag."
"92","marilyn","Reviewed in the United Kingdom on 16 February 2024","5.0 out of 5 stars","My Michael kors bag"
"93","Tan","Reviewed in the United Kingdom on 6 March 2024","5.0 out of 5 stars","Love this !"
"94","Angie","Reviewed in the United Kingdom on 8 January 2024","5.0 out of 5 stars","Great bag"
"95","Mrs. V.C.","Reviewed in the United Kingdom on 21 May 2019","4.0 out of 5 stars","Beautiful bag but....."
"96","Eunice","Reviewed in the United Kingdom on 3 March 2024","1.0 out of 5 stars","Doesn’t look like the genuine article"
"97","Samira jalia","Reviewed in the United Kingdom on 27 January 2024","5.0 out of 5 stars","Lovely colour"
"98","Cherrie ","Reviewed in the United Kingdom on 7 December 2023","5.0 out of 5 stars","Michael Kors body cross bag"
"99","Courtney","Reviewed in the United States on 17 February 2024","5.0 out of 5 stars","Perfect size"
"100","Erika Rodríguez ","Reviewed in Mexico on 16 February 2024","5.0 out of 5 stars","Bolsa original."
